"region3","region1","X36081","X36047","X36061","X36005","X36085","X36081b","X36047b","X36061b","X36005b","X36085b"
"Global","null",1,1,1,1,1,1057271,921519,452102,443968,96258
"Africa","Global",0.0212433709049052,0.0300091479394348,0.0408735196924588,0.0874184625918985,0.0807932847139978,22460,27654,18479,38811,7777
"Americas","Global",0.484762184908127,0.52122419613703,0.46897602753361,0.764726286579213,0.265151987367284,512525,480318,212025,339514,25523
"Asia","Global",0.36453000224162,0.239756315387963,0.29367487867782,0.0792444500504541,0.292973051590517,385407,220940,132771,35182,28201
"Europe","Global",0.128930993094486,0.207100450451917,0.186559670162928,0.0683495206861756,0.360697292692555,136315,190847,84344,30345,34720
"Oceania","Global",0.000533448850862267,0.00190989008365536,0.00991590393318322,0.000261280092258902,0.000384383635645868,564,1760,4483,116,37
"United Kingdom excluding England and Scotland","Europe",0.00146225518339196,0.00349965654533439,0.0171421493379813,0.00161272884532219,0.00230630181387521,1546,3225,7750,716,222
"England","Europe",0.00203353728608843,0.00423648345829006,0.0126608597174974,0.0034011460285426,0.00386461385027738,2150,3904,5724,1510,372
"Scotland","Europe",0.000467240660152411,0.000417788455799609,0.00198848932320583,0.000225241458843881,0.00172453198695173,494,385,899,100,166
"Ireland","Europe",0.00559270045239111,0.00205096151028899,0.00654277132151594,0.00656353611071068,0.00383344760954934,5913,1890,2958,2914,369
"Denmark","Europe",3.12124327632178e-05,0.000149752745195704,0.00143994054439043,0,6.23324814560868e-05,33,138,651,0,6
"Norway","Europe",0.000100258117360639,0.000360274720325897,0.000765314022056969,3.60386334150209e-05,0.00131937085748717,106,332,346,16,127
"Egypt","Africa",0.00467524409541168,0.00476495872575606,0.00280246493048029,0.000835645812310797,0.0243096677678738,4943,4391,1267,371,2340
"Morocco","Africa",0.00247807799514032,0.00247851644947093,0.00261003047984747,0.00135370116765172,0.00424899748592325,2620,2284,1180,601,409
"Sudan","Africa",0.000202407897312988,0.000943008228804832,0.000245519816324635,0.000441473259334006,0,214,869,111,196,0
"Other Northern Africa","Africa",0.000949614621038504,0.000741167572236709,0.00118114938664284,0.000227493873432319,0.000945375968750649,1004,683,534,101,91
"South Africa","Africa",0.000326311797070004,0.000784574165047058,0.0044746539497724,0.00043471601556869,0.000218163685096304,345,723,2023,193,21
"Other Southern Africa","Africa",3.59415892424932e-05,1.51923074836221e-05,0.000128289633755215,6.53200230647254e-05,0,38,14,58,29,0
"Cape Verde","Africa",5.01290586803194e-05,8.6813185620698e-06,0,3.82910480034597e-05,0,53,8,0,17,0
"Sweden","Europe",0.000137145537898987,0.000561030212073761,0.00321387651459184,0.000110368314833502,0.00134014835130587,145,517,1453,49,129
"Ghana","Africa",0.00197016658926614,0.00438732136830603,0.00206148170103207,0.0332659110566527,0.00384383635645868,2083,4043,932,14769,370
"Liberia","Africa",0.000647894437660732,0.000681483507122479,0.000780797253717082,0.00119603214646101,0.0135573147166989,685,628,353,531,1305
"Nigeria","Africa",0.00480009382646455,0.00656850265702606,0.00179163109209869,0.0113814509153813,0.0149909617901889,5075,6053,810,5053,1443
"Sierra Leone","Africa",0.000215649535454959,0.000871387350667756,0.00146427133699917,0.0026758685310653,0.00485154480666542,228,803,662,1188,467
"Other Western Africa","Africa",0.00085030233497372,0.00332277467963222,0.0111921646000239,0.020280740954303,0.00416588751064847,899,3062,5060,9004,401
"Africa n.e.c.","Africa",0.00180275444989979,0.00272810435813043,0.00425567681629367,0.0108138424390947,0.00689812794780694,1906,2514,1924,4801,664
"Australia","Oceania",0.000391574156484005,0.00122623624689236,0.00817735820677635,9.91062418913075e-05,0.000322051154189782,414,1130,3697,44,31
"Other Australian and New Zealand Subregion","Oceania",2.17541198046669e-05,0.000470961531992287,0.00156601828790848,5.18055355340925e-05,0,23,434,708,23,0
"Other Northern Europe","Europe",0.000209028716383973,0.000103090657924579,0.00133155792276964,0.00011262072942194,0.000571381080014129,221,95,602,50,55
"Fiji","Oceania",3.21582640590728e-05,0,3.09664633202242e-05,0,0,34,0,14,0,0
"Oceania n.e.c.","Oceania",8.79623105145228e-05,0.00021269230477071,0.000141560975178168,0.000110368314833502,6.23324814560868e-05,93,196,64,49,6
"Bahamas","Americas",0.000227945342301075,0.000424299444721161,0.000683474083282091,0.000466249819806833,0.000322051154189782,241,391,309,207,31
"Barbados","Americas",0.00370387535456851,0.0185563184264242,0.00176287651901562,0.00349799985584547,0.00100770845020674,3916,17100,797,1553,97
"Cuba","Americas",0.00578943336192897,0.00324681314221411,0.0127294283148493,0.00843979746288021,0.00644102308379563,6121,2992,5755,3747,620
"Dominica","Americas",0.00170627965772257,0.00249479392177481,0.00499444815550473,0.008520884388064,0.00194269567204804,1804,2299,2258,3783,187
"Dominican Republic","Americas",0.0492759188514581,0.0575636530554443,0.2327793285586,0.325523461150353,0.0186478007022793,52098,53046,105240,144522,1795
"Grenada","Americas",0.00163345064794173,0.0174516206394008,0.000771949692768446,0.00201816347124117,0.00143364707349,1727,16082,349,896,138
"Haiti","Americas",0.0252045123719463,0.0591002464409307,0.00907096186258853,0.00670093340060545,0.00501776475721498,26648,54462,4101,2975,483
